"VarName","TimeString","VarValue","Validity","Time_ms"
"Act_Weight","11/25/2024 12:04:26 PM",0,1,45621503079.0509
"Act_Temp_Say","11/25/2024 12:04:26 PM",0,1,45621503079.0509
"Act_Temp_Hap","11/25/2024 12:04:26 PM",64.50002,1,45621503079.0509
"Act_Weight","11/25/2024 12:04:31 PM",0,1,45621503137.338
"Act_Temp_Say","11/25/2024 12:04:31 PM",0,1,45621503137.338
"Act_Temp_Hap","11/25/2024 12:04:31 PM",70.35001,1,45621503137.338
"Act_Weight","11/25/2024 12:04:36 PM",0,1,45621503195.6366
"Act_Temp_Say","11/25/2024 12:04:36 PM",0,1,45621503195.6366
"Act_Temp_Hap","11/25/2024 12:04:36 PM",70.35001,1,45621503195.6366
"Act_Weight","11/25/2024 12:04:41 PM",0,1,45621503253.8542
"Act_Temp_Say","11/25/2024 12:04:41 PM",0,1,45621503253.8542
"Act_Temp_Hap","11/25/2024 12:04:41 PM",70.35001,1,45621503253.8542
"Act_Weight","11/25/2024 12:04:46 PM",0,1,45621503312.1065
"Act_Temp_Say","11/25/2024 12:04:46 PM",0,1,45621503312.1065
"Act_Temp_Hap","11/25/2024 12:04:46 PM",70.35001,1,45621503312.1065
"Act_Weight","11/25/2024 12:04:51 PM",0,1,45621503370.3935
"Act_Temp_Say","11/25/2024 12:04:51 PM",0,1,45621503370.3935
"Act_Temp_Hap","11/25/2024 12:04:51 PM",70.35001,1,45621503370.3935
"Act_Weight","11/25/2024 12:04:56 PM",0,1,45621503428.6343
"Act_Temp_Say","11/25/2024 12:04:56 PM",0,1,45621503428.6343
"Act_Temp_Hap","11/25/2024 12:04:56 PM",70.35001,1,45621503428.6343
"Act_Weight","11/25/2024 12:05:01 PM",0,1,45621503486.9213
"Act_Temp_Say","11/25/2024 12:05:01 PM",0,1,45621503486.9213
"Act_Temp_Hap","11/25/2024 12:05:01 PM",70.35001,1,45621503486.9213
"Act_Weight","11/25/2024 12:05:06 PM",0,1,45621503545.1852
"Act_Temp_Say","11/25/2024 12:05:06 PM",6.525002,1,45621503545.1852
"Act_Temp_Hap","11/25/2024 12:05:06 PM",66.60001,1,45621503545.1852
